phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
TuIb,yes,contractile,Myoviridae,Escherichia coli ,562,Escherichia coli,Gram negative,cell wall,Protein Ib (OmpC) with LPS ,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Datta et al. 1977,10.1128/jb.131.3.821-829.1977, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/GQ167032.1,GQ167032.1,specific gene,OmpC,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene OmpC,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain EC-937-2/07 outer membrane protein C (ompC) gene, complete cds",,resolved,Major proteins of the Escherichia coli outer cell envelope membrane as bacteriophage receptors,corroborated,65 independent record(s) link TuIb to OmpC,low,high,none
φ13 (alternate family),yes,long non-contractile,Siphoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,α-GlcNAc residues of wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Xia et al. 2011,10.1128/JB.01412-10, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",,,,,,high,medium,none
P1,yes,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Oliveira et al. 2017,10.1111/1462-2920.13970, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/E5Q348,E5Q348,specific RBP,Spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence UniProt assignment | ambiguous phage name across organisms,,host genome fallback: no gene symbol in receptor,"AMBIGUOUS phage name across organisms, none match host 'Acinetobacter baumannii': Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-265225/IT/USA/2009, Escherichia phage P1, Klebsiella phage P1, Lactobacillus phage P1, Salmonella phage fmb-p1, Xanthomonas phage FMYAK-P1",,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-265225/IT/USA/2009,resolved,"Ability of phages to infect
                    <i>Acinetobacter calcoaceticus‐Acinetobacter baumannii</i>
                    complex species through acquisition of different pectate lyase depolymerase domains",corroborated,664 independent record(s) link P1 to capsular polysaccharide,high,medium,low
PP7,no,"none (icosahedral, ssRNA)",Leviviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,group II type IV pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Kim et al. 2018,10.3389/fmicb.2018.00247, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain PA3 isolate PA3 chromosome 1, complete sequence",,,,,,high,medium,none
Vi Phage VII,yes,short,Podoviridae,Salmonella enterica serovar Typhi,90370,Salmonella enterica subsp. enterica serovar Typhi,Gram negative,cell wall,Vi exopolysaccharide,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Pickard et al. 2010,10.1128/JB.00659-10, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_LR590081.1,NZ_LR590081.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,Salmonella enterica subsp. enterica serovar Typhi str. Ty2 strain 4316STDY6559669 chromosome 1,,,,,,high,medium,none
S136,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
CHPC951,yes,long non-contractile,Siphoviridae,Streptococcus thermophilus,1308,Streptococcus thermophilus,Gram negative,cell wall,cell wall glycans not polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Szymczak et al. 2018,10.1128/AEM.01847-18, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP065485.1,NZ_CP065485.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A3G8F8I3,A0A3G8F8I3,other tail protein,Tail protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,no specific RBP annotated; using another tail protein (Patrick's fallback),,Streptococcus thermophilus,"Streptococcus thermophilus strain MM20 chromosome, complete genome",Streptococcus phage CHPC951,,,,,none,medium,medium
SPN9TCW,yes,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
A-1(L),yes,contractile,Myoviridae,Anabaena sp.,1167,Anabaena sp.,Gram negative,cell wall,O antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Xiong et al. 2018,10.1128/JB.00516-18, ,Yes,no,,,none,,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,no GenBank record found for receptor or host genome,phage present in UniProt but no tail/RBP protein annotated,,,,,resolved,"Cyanophage A-1(L) Adsorbs to Lipopolysaccharides of
            <i>Anabaena</i>
            sp. Strain PCC 7120 via the Tail Protein Lipopolysaccharide-Interacting Protein (ORF36)",corroborated,1496 independent record(s) link A-1(L) to LPS,high,none,none
mEp504,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
ϕNC10,yes,short,Podoviridae,Yersinia ruckeri,29486,Yersinia ruckeri,Gram negative,cell wall,O1-LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Welch et al. 2020,10.1111/jfd.13124, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP017236.1,NZ_CP017236.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Yersinia ruckeri,"Yersinia ruckeri strain QMA0440 isolate 14/0165-5k chromosome, complete genome",,,,,,high,medium,none
mEp064,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
mEp023,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
F361,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
φL7,yes,long non-contractile,Siphoviridae,Xanthomonas campestris pv. campestris,340,Xanthomonas campestris pv. campestris,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Hung et al. 2002,10.1006/bbrc.2002.6440, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP124745.1,NZ_CP124745.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Xanthomonas campestris pv. campestris,"Xanthomonas campestris pv. campestris strain CFBP 9145 chromosome, complete genome",,,,,,high,medium,none
Ox2,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Protein OmpA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Morona and Henning 1984,10.1128/jb.159.2.579-582.1984, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/EU183344.1,EU183344.1,specific gene,OmpA,yes,https://www.uniprot.org/uniprotkb/P08232,P08232,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpA,,,Escherichia coli,"Escherichia coli strain SYW048 outer membrane protein A (ompA) gene, ompA-2 allele, partial cds",Enterobacteria phage Ox2,,,,,high,high,high
PST,yes,contractile,Myoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,cell wall,HepII/HepIII residues of LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Filippov et al. 2011,10.1371/journal.pone.0025486, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/S5M9K9,S5M9K9,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,name collision resolved by host; other candidates: Enterobacteria phage PST,,Yersinia pestis,"Yersinia pestis strain FDAARGOS_601 chromosome, complete genome",Yersinia phage PST,,,,,high,medium,high
TP446,yes,contractile,Myoviridae,Aeromonas salmonicida,645,Aeromonas salmonicida,Gram negative,cell wall,A layer,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Ishiguro et al. 1984,10.1007/bf01627255, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP101948.1,NZ_CP101948.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Aeromonas salmonicida,"Aeromonas salmonicida strain FN1 chromosome, complete genome",,,,,,none,medium,none
D4410,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,YjaE,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Millen et al. 2016,10.1099/jgv.0.000499, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A192YAG4,A0A192YAG4,specific RBP,Tail fibers protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: gene(s) YjaE not found,,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,Lactococcus phage D4410,,,,,none,medium,high
S13',yes,short,Podoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,β-O-N-acetylglucosamine of wall teichoic acids,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Uchiyama et al. 2017,10.1099/jgv.0.000865, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",,,,,,high,medium,none
mEp145,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
LL-H,yes,long non-contractile,Siphoviridae,Lactobacillus delbrueckii,1584,Lactobacillus delbrueckii,Gram positive,cell wall,Glucose moiety of LTA for reversible adsorption and negatively charged glycerol phosphate group of the LTA for irreversible binding,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Munsch-Alatossava and Alatossava 2013,10.3389/fmicb.2013.00408, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP018215.1,NZ_CP018215.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,receptor text does not support domain 'Teichoic Acids',,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Lactobacillus delbrueckii subsp. lactis,"Lactobacillus delbrueckii subsp. lactis strain KCCM 34717 chromosome, complete genome",,resolved,The extracellular phage-host interactions involved in the bacteriophage LL-H infection of Lactobacillus delbrueckii ssp. lactis ATCC 15808,corroborated,24 independent record(s) link LL-H to Teichoic Acids,high,medium,none
